EmployeeNumber,Surname,GivenName,Gender,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
59,Bates,Charles,M,Baker,Bakery,Kelowna,Stores,54.04930086,4.060790515,121.4480075,Stores
60,Ross,Robert,M,Baker,Bakery,New Westminster,Stores,43.91047001,4.197598793,59.7836809,Stores
61,Heller,Joseph,M,Baker,Bakery,Victoria,Stores,42.59140213,5.101161761,55.62426288,Stores
62,Murray,Faye,F,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55.76305,10.623616,0,HeadOffice
63,Allen,Michelle,F,Baker,Bakery,Prince George,Stores,31.16665889,0.775517909,0,Stores
64,Jones,Harvey,M,Baker,Bakery,Terrace,Stores,43.26243975,5.843569409,55.05895104,Stores
65,Nystrom,Jane,F,Baker,Bakery,Kamloops,Stores,35.61924833,3.679095448,44.6346054,Stores
66,Albright,Paul,M,Baker,Bakery,Squamish,Stores,39.26200269,5.748053523,42.45739254,Stores
67,Lovely,Janet,F,Baker,Bakery,Surrey,Stores,22.5364126,5.897640636,0,Stores
68,Strayhorn,Billie,F,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,39.73937,11.885504,0,HeadOffice
69,Jones,Tammy,F,Baker,Bakery,Kamloops,Stores,46.94959435,2.024655355,107.7955005,Stores
70,Gay,Donald,M,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44.10973,12.305714,78.84098352,HeadOffice
71,Green,Earnest,M,Baker,Bakery,New Westminister,Stores,52.78875734,4.589520028,110.1543068,Stores
72,Riley,Wendy,F,Baker,Bakery,West Vancouver,Stores,35.63044266,3.947661015,33.93440994,Stores
73,Malizia,Randall,M,Baker,Bakery,Vernon,Stores,42.4342557,3.387128544,28.60483097,Stores
74,Lopez,Florence,F,Baker,Bakery,Burnaby,Stores,40.96753752,3.285283682,44.9874293,Stores
75,Howell,Carol,F,Baker,Bakery,Trail,Stores,46.77086356,1.991692074,126.5011301,Stores
76,Chico,Joyce,F,Baker,Bakery,Victoria,Stores,45.3008103,5.567973876,19.6191458,Stores
77,White,Anthony,M,Baker,Bakery,Kamloops,Stores,38.29655279,6.095617444,0,Stores
78,Smith,Danny,M,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35.4939,8.348239,44.97411152,HeadOffice
79,Porter,Ana,F,Baker,Bakery,Prince George,Stores,41.66134173,4.711743887,45.95478779,Stores
80,Depaz,Shari,F,Baker,Bakery,New Westminster,Stores,43.5118766,1.778630937,83.3173005,Stores
81,Witkowski,Alice,F,Baker,Bakery,Squamish,Stores,54.00481868,2.870591513,136.3424045,Stores
82,Alvarez,Kenneth,M,Baker,Bakery,Nanaimo,Stores,46.22423463,4.416249838,53.3120259,Stores
83,Morales,Soledad,F,Baker,Bakery,Kamloops,Stores,47.65733071,4.252453434,96.6132406,Stores
84,Burden,Alexis,F,Baker,Bakery,Kelowna,Stores,51.99137493,2.964089468,140.9111414,Stores
85,Dyal,William,M,Baker,Bakery,Victoria,Stores,33.3683369,2.301876593,31.69229831,Stores
86,Hayden,Kenneth,M,Baker,Bakery,New Westminster,Stores,47.6040848,4.149329545,12.68410865,Stores
87,Caban,Joshua,M,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,34.6622,13.828331,54.30033232,HeadOffice
88,Knight,Mildred,F,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37.24006,18.641316,0,HeadOffice
89,Thurmond,Linda,F,Baker,Bakery,Quesnel,Stores,45.47882196,6.837239767,103.3493697,Stores
90,Monroe,Terra,F,Baker,Bakery,Kelowna,Stores,26.91367155,3.983950436,0,Stores
91,Velez,Colleen,F,Baker,Bakery,Terrace,Stores,37.74242382,3.569517999,49.84641191,Stores
92,Martin,Lisa,F,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40.49192,1.223785,58.28770605,HeadOffice
93,Godfrey,Ramon,M,Baker,Bakery,Victoria,Stores,48.62992513,5.534431308,110.8124796,Stores
94,Jackson,Monica,F,Baker,Bakery,Prince George,Stores,52.18642804,5.333357014,158.6843997,Stores
95,Craig,Cristina,F,Baker,Bakery,Victoria,Stores,37.91257982,4.677505826,73.47603875,Stores
96,Schooley,Daniel,M,Baker,Bakery,Nelson,Stores,29.40947244,4.853084899,2.187241945,Stores
97,Wireman,Jacquie,F,Baker,Bakery,New Westminster,Stores,51.17022316,4.954787053,99.80856689,Stores
98,Tripp,Simone,F,Baker,Bakery,Kamloops,Stores,39.46457145,1.914256944,34.77626973,Stores
99,Cousins,Jessica,F,Baker,Bakery,Cranbrook,Stores,26.67920383,4.850275414,0,Stores
100,Drake,Mildred,F,Baker,Bakery,Burnaby,Stores,46.54737692,7.40795942,81.7411048,Stores
101,Gilreath,Mary,F,Baker,Bakery,Victoria,Stores,39.23785234,5.28876626,51.75805976,Stores
102,Lundin,Edwina,F,Baker,Bakery,New Westminster,Stores,49.02908732,2.992767917,121.0074252,Stores
103,Gleason,Esther,F,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.74006,16.587192,48.37309828,HeadOffice
104,Sharma,Donald,M,Baker,Bakery,Nanaimo,Stores,55.82635616,2.020945438,137.4598877,Stores
105,Hash,Yvonne,F,Baker,Bakery,Victoria,Stores,44.00105092,4.03442867,98.5576777,Stores
106,Harris,Arnold,M,Baker,Bakery,Cranbrook,Stores,29.6692902,2.920694436,0,Stores
107,Massey,Christie,F,Baker,Bakery,Cranbrook,Stores,46.08440537,4.834791047,44.00185941,Stores
108,Webber,Hobert,M,Baker,Bakery,Fort St John,Stores,27.86599272,4.51966396,0,Stores
109,Edmondson,Cynthia,F,Baker,Bakery,Burnaby,Stores,37.38317605,4.934654158,39.10172396,Stores
110,Paschall,Marjorie,F,Baker,Bakery,Fort St John,Stores,50.43589901,5.505354659,138.9330403,Stores
111,Johnson,Dexter,M,Baker,Bakery,New Westminster,Stores,46.58616386,4.74303968,63.03007856,Stores
112,Fox,Keith,M,Baker,Bakery,Cranbrook,Stores,50.28113997,5.319611026,98.3228922,Stores
113,Kamen,Alan,M,Baker,Bakery,Terrace,Stores,39.04622933,1.733551364,56.30433228,Stores
114,Ogden,Nancy,F,Baker,Bakery,Williams Lake,Stores,37.49357924,5.272417507,25.46792975,Stores
115,Ervin,Patricia,F,Baker,Bakery,Vernon,Stores,47.5184211,3.813679718,96.88371667,Stores
116,Clark,Pauline,F,Baker,Bakery,Victoria,Stores,50.24461391,3.450234407,118.490501,Stores
117,Andrews,Debra,F,Baker,Bakery,New Westminster,Stores,40.32982676,6.277340487,34.02042059,Stores
118,Calderon,Sybil,F,Baker,Bakery,Aldergrove,Stores,36.92447866,6.283404129,72.79408579,Stores
119,Torres,Lee,M,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33.17869,3.616228,0,HeadOffice
120,Ward,James,M,Baker,Bakery,Abbotsford,Stores,32.75941298,7.100916929,0,Stores
121,Browning,Christiane,F,Baker,Bakery,Quesnel,Stores,58.57572963,6.547789836,153.2632323,Stores
122,Wurth,William,M,Baker,Bakery,Quesnel,Stores,23.94839693,5.192754104,0,Stores
123,Prescott,Wesley,M,Baker,Bakery,Quesnel,Stores,43.20353674,7.921398042,53.84737103,Stores
124,Dunham,Ligia,F,Baker,Bakery,Prince George,Stores,52.64638663,4.990343166,113.9617749,Stores
125,Garrett,Steve,M,Baker,Bakery,Trail,Stores,45.82458879,3.39067547,79.10668824,Stores
126,Alexander,Tyrone,M,Baker,Bakery,Surrey,Stores,35.53798668,5.764585657,29.98231177,Stores
127,Cheek,Mary,F,Baker,Bakery,Cranbrook,Stores,37.84977345,1.976125041,68.40403177,Stores
128,Ackerman,Carrie,F,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.2858,21.122314,30.99399888,HeadOffice
129,Johnson,Patricia,F,Baker,Bakery,Ocean Falls,Stores,24.36946429,3.769958819,0,Stores
130,Haley,Carey,M,Baker,Bakery,West Vancouver,Stores,45.92597301,6.680159831,40.05948151,Stores
131,Hall,Maria,F,Baker,Bakery,Trail,Stores,32.63626674,3.122804778,49.65651125,Stores
132,Bunch,Terra,F,Baker,Bakery,Victoria,Stores,39.38889368,3.731981529,94.2773662,Stores
133,Martin,Terry,M,Baker,Bakery,Victoria,Stores,35.69832217,1.881003024,58.09452779,Stores
134,Bass,Brian,M,Baker,Bakery,Fort St John,Stores,49.71959048,4.205191727,62.16083824,Stores
135,Wagner,Robert,M,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,54.67226,17.149135,30.45802032,HeadOffice
136,McBride,Joanne,F,Baker,Bakery,Victoria,Stores,44.00556211,3.729336444,90.81179196,Stores
137,Johnson,Paul,M,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36.480086,18.480086,37.1157124,HeadOffice
138,Cook,Anthony,M,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,55.76305,11.44132,0,HeadOffice
139,Loch,Dean,M,Baker,Bakery,North Vancouver,Stores,43.1563698,5.174066619,63.18923992,Stores
140,Defoor,James,M,Baker,Bakery,Prince George,Stores,56.55995386,4.927399666,101.9347516,Stores
141,Wadlington,Arthur,M,Baker,Bakery,Prince George,Stores,43.12316447,2.480452998,45.48992662,Stores
142,Harte,Vanessa,F,Baker,Bakery,Trail,Stores,50.35361623,3.006138301,124.2025327,Stores
143,Galindo,Zachary,M,Baker,Bakery,Victoria,Stores,49.47613903,4.687620059,56.92397595,Stores
144,Reardon,Kenneth,M,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,39.73937,16.8497,0,HeadOffice
145,Flores,Doris,F,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44.10973,11.954267,111.7755846,HeadOffice
146,Busch,Alice,F,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.4939,13.707758,0,HeadOffice
147,Phillips,Alfredo,M,Baker,Bakery,Vernon,Stores,61.44050167,3.439750719,96.260697,Stores
148,Lopez,Christopher,M,Baker,Bakery,Victoria,Stores,47.87764919,3.44226196,58.15296878,Stores
149,Fernandez,Emma,F,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,34.6622,5.689747,40.14572515,HeadOffice
150,Westling,Sharonda,F,Baker,Bakery,Nanaimo,Stores,37.85526055,7.02162411,92.24730012,Stores
151,Pelletier,Ronald,M,Baker,Bakery,Terrace,Stores,57.89963249,5.586855486,116.0821581,Stores
152,Chacon,William,M,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37.24006,2.759389,24.50390384,HeadOffice
153,Petty,Leland,M,Baker,Bakery,New Westminster,Stores,37.97420752,2.519988839,17.06972082,Stores
154,Whitmire,Ernestine,F,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40.49192,6.408469,90.16966119,HeadOffice
155,Rivers,Matthew,M,Baker,Bakery,Victoria,Stores,49.07042916,6.154288207,46.52578004,Stores
156,Meyers,Kim,F,Baker,Bakery,Cranbrook,Stores,55.93339775,4.507594802,156.6886593,Stores
157,Hebert,Sheree,F,Baker,Bakery,Port Coquitlam,Stores,27.38177556,5.882383018,14.38568387,Stores
158,Jacques,Pearl,F,Baker,Bakery,Vernon,Stores,51.85696413,2.856147379,113.2580344,Stores
159,Valdez,Gabriela,F,Baker,Bakery,Prince George,Stores,61.3978081,2.771944271,159.968214,Stores
160,Vidrine,Harold,M,Baker,Bakery,West Vancouver,Stores,66.06890246,4.235105015,223.778841,Stores
161,Carbone,Edith,F,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.74006,23.746003,0,HeadOffice
162,Hernandez,Leonard,M,Baker,Bakery,New Westminster,Stores,40.45052007,3.839194051,79.12363725,Stores
163,Campbell,Frank,M,Baker,Bakery,White Rock,Stores,57.35063799,6.032330926,154.2577252,Stores
164,Raley,Charlie,M,Baker,Bakery,Aldergrove,Stores,31.38918207,4.08229079,0,Stores
165,Rayfield,Robert,M,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.80744,17.80744,0,HeadOffice
166,Shea,Melinda,F,Baker,Bakery,Richmond,Stores,52.1325405,6.524270599,88.45913805,Stores
167,Coleman,David,M,Baker,Bakery,Fort St John,Stores,30.55156977,4.994952013,0,Stores
168,Haynes,Patrick,M,Baker,Bakery,Squamish,Stores,54.55066069,5.582832837,95.49894843,Stores
169,Bonilla,Frederick,M,Baker,Bakery,Surrey,Stores,49.85965201,3.415872649,120.0797189,Stores
170,Tobin,Sonia,F,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.2858,13.56324,0,HeadOffice
171,Wood,Denise,F,Baker,Bakery,Kamloops,Stores,30.04004847,5.287380572,0,Stores
172,Guajardo,Cynthia,F,Baker,Bakery,Kelowna,Stores,42.51405735,0.696873054,82.89702302,Stores
173,Marshall,Caroline,F,Baker,Bakery,Victoria,Stores,49.27493559,5.039542872,121.3682638,Stores
174,Ray,James,M,Baker,Bakery,Prince George,Stores,38.15800998,3.999675679,34.20118293,Stores
175,Baum,Stephanie,F,Auditor,Audit,Vancouver,FinanceAndAccounting,45.5594,14.410268,69.47820963,HeadOffice
176,Dubin,Joesph,M,Baker,Bakery,Kelowna,Stores,44.0545011,4.48261494,56.19587246,Stores
177,Giles,Sarah,F,Baker,Bakery,New Westminster,Stores,43.53401993,4.978325753,61.49474478,Stores
178,Layman,Angelica,F,Baker,Bakery,Victoria,Stores,42.63644281,5.982794346,60.09046813,Stores
179,Martin,Michaela,F,Baker,Bakery,Victoria,Stores,44.24521906,0.840480646,66.31549844,Stores
180,Williams,Michael,M,Baker,Bakery,North Vancouver,Stores,45.94124227,3.842333733,71.55570239,Stores
181,Hoyt,Arnold,M,Baker,Bakery,West Vancouver,Stores,37.99890445,6.982080942,33.94380532,Stores
182,Belliveau,Tina,F,Baker,Bakery,Victoria,Stores,33.403431,3.959062909,46.92397933,Stores
183,Hoffman,Marvin,M,Baker,Bakery,Langley,Stores,40.34235317,3.204713851,40.23300149,Stores
184,Slavin,Paul,M,Baker,Bakery,Port Coquitlam,Stores,37.80852455,4.947165495,29.16170217,Stores
185,Rosenfeld,Mary,F,Baker,Bakery,Victoria,Stores,42.31715261,2.048207893,44.15691237,Stores
186,Bryan,Larry,M,Auditor,Audit,Vancouver,FinanceAndAccounting,45.01263,12.688114,47.51121024,HeadOffice
187,Hines,Oswaldo,M,Baker,Bakery,Kamloops,Stores,34.28047515,4.044062622,0,Stores
188,Finley,Anna,F,Auditor,Audit,Vancouver,FinanceAndAccounting,49.14973,1,121.7851932,HeadOffice
189,McCaffery,Francis,M,Baker,Bakery,Victoria,Stores,35.36492589,5.028810793,31.13908709,Stores
190,Ditch,Diana,F,Baker,Bakery,New Westminster,Stores,53.64586019,5.138841132,79.22102251,Stores
191,Foster,Bonnie,F,Auditor,Audit,Vancouver,FinanceAndAccounting,43.934345,25.934345,38.55781831,HeadOffice
192,Mitchell,Mary,F,Baker,Bakery,Chilliwack,Stores,19.19153395,4.47318993,0,Stores
193,Peterson,Brenda,F,Baker,Bakery,Abbotsford,Stores,46.68367521,5.312088904,44.74428082,Stores
194,Stokley,George,M,Baker,Bakery,Nelson,Stores,44.60240143,4.41770495,93.42104381,Stores
195,Hauser,Harold,M,Baker,Bakery,Burnaby,Stores,48.76869491,5.696230561,96.65594514,Stores
196,Russell,James,M,Baker,Bakery,Nanaimo,Stores,50.76459344,1.265974742,71.73266923,Stores
197,Mott,Daniel,M,Baker,Bakery,Chilliwack,Stores,59.01548877,3.241373868,109.2478897,Stores
198,Fernandez,Michael,M,Baker,Bakery,Terrace,Stores,35.98656738,4.453742125,12.57657646,Stores
199,Burton,Norman,M,Baker,Bakery,Richmond,Stores,51.39517039,3.682661001,34.0739579,Stores
200,Forrest,Tamara,F,Baker,Bakery,Kelowna,Stores,57.43314763,5.885415633,154.8111128,Stores
201,Britt,Robert,M,Baker,Bakery,Richmond,Stores,52.65101839,5.299719684,90.2876122,Stores
202,Bennett,Jimmy,M,Baker,Bakery,Victoria,Stores,52.1874037,3.960580937,113.0661266,Stores
203,Watkins,Caitlin,F,Baker,Bakery,Haney,Stores,51.77301121,3.908676273,106.5730043,Stores
204,Wann,Amy,F,Baker,Bakery,New Westminster,Stores,35.11682533,5.865363012,12.10318321,Stores
205,Roberson,Dennis,M,Baker,Bakery,Kamloops,Stores,52.99893588,4.219663308,84.32384993,Stores
206,Moore,Francis,M,Baker,Bakery,Surrey,Stores,43.73002137,5.168028157,66.34602697,Stores
207,Johnson,Philip,M,Baker,Bakery,Richmond,Stores,40.93856989,5.488107859,0,Stores
208,Parker,Karen,F,Baker,Bakery,Nelson,Stores,18.95983224,3.820712697,0,Stores
209,Skipper,Maria,F,Auditor,Audit,Vancouver,FinanceAndAccounting,57.87456,19.248894,72.92419805,HeadOffice
210,Klein,Jennifer,F,Auditor,Audit,Vancouver,FinanceAndAccounting,53.312967,35.312967,0,HeadOffice
211,Vaughn,Robert,M,Baker,Bakery,Langley,Stores,32.50307819,4.664330299,0,Stores
212,Anthony,Juan,M,Baker,Bakery,Kamloops,Stores,36.38184177,4.953196152,33.52879809,Stores
213,Lavalley,Glen,M,Baker,Bakery,Prince George,Stores,44.84727769,5.170380512,61.73170524,Stores
214,Bryant,Minerva,F,Baker,Bakery,Terrace,Stores,12.6843222,3.032072975,0,Stores
215,Elmore,Alfred,M,Baker,Bakery,Victoria,Stores,54.43216037,4.243228337,111.0545762,Stores
216,Johnson,Billy,M,Baker,Bakery,Surrey,Stores,60.37304921,2.251922005,174.6845171,Stores
217,Ceaser,Mary,F,Auditor,Audit,Vancouver,FinanceAndAccounting,37.098383,19.098383,46.77119065,HeadOffice
218,Collier,Steven,M,Auditor,Audit,Vancouver,FinanceAndAccounting,44.93259,11.374388,41.62491736,HeadOffice
219,Aaron,Michael,M,Baker,Bakery,Victoria,Stores,43.91164167,5.502563615,95.4168043,Stores
220,Moultrie,Kevin,M,Baker,Bakery,Victoria,Stores,45.45783561,4.594193677,22.49132554,Stores
221,Witt,Melissa,F,Baker,Bakery,Kelowna,Stores,37.49657444,6.270841741,59.38794448,Stores
222,Duvall,Gina,F,Auditor,Audit,Vancouver,FinanceAndAccounting,49.67844,12.688541,57.22786992,HeadOffice
223,Willard,Jeffrey,M,Baker,Bakery,Surrey,Stores,42.78966516,2.483440021,45.13933554,Stores
224,Jacobs,Thomas,M,Baker,Bakery,Victoria,Stores,34.80801888,6.462199055,50.51860074,Stores
225,Lopes,Larry,M,Baker,Bakery,Victoria,Stores,44.71639495,4.551809045,62.15482382,Stores
226,Wolfram,Betty,F,Baker,Bakery,New Westminster,Stores,39.93536429,6.609689398,16.055531,Stores
227,Dunn,Heather,F,Baker,Bakery,Kamloops,Stores,47.50043293,2.363185013,85.37866147,Stores
228,Kroon,Brent,M,Auditor,Audit,Vancouver,FinanceAndAccounting,44.185803,26.185803,0,HeadOffice
229,Finke,Michael,M,Baker,Bakery,Victoria,Stores,41.60450461,4.004897104,39.67547177,Stores
230,Hulett,Florence,F,Baker,Bakery,Nanaimo,Stores,44.22969208,5.520121991,57.18578016,Stores
231,Ponce,Melanie,F,Baker,Bakery,Kamloops,Stores,37.2991166,6.880356905,38.10079038,Stores
232,Ellis,Jeri,F,Baker,Bakery,Quesnel,Stores,42.46407075,3.729081549,118.5860854,Stores
233,Cox,Conrad,M,Auditor,Audit,Vancouver,FinanceAndAccounting,39.31457,14.613758,28.89700216,HeadOffice
234,Smith,Raymond,M,Baker,Bakery,New Westminster,Stores,43.35590303,5.955207373,73.39635973,Stores
235,Banks,Ryan,M,Baker,Bakery,New Westminster,Stores,48.48461962,4.929204151,86.86241559,Stores
236,Kendall,Bernadette,F,Baker,Bakery,Richmond,Stores,45.28880825,6.267979432,106.7733033,Stores
237,Fernandez,Brian,M,Baker,Bakery,West Vancouver,Stores,34.54452812,6.340696466,0,Stores
238,Labrie,Vicky,F,Baker,Bakery,Williams Lake,Stores,51.7865376,5.205942693,107.8343573,Stores
239,Ash,Christopher,M,Baker,Bakery,Surrey,Stores,43.46696293,2.826842165,10.68473537,Stores
240,Salisbury,Susan,F,Baker,Bakery,Fort St John,Stores,37.71197934,2.218388271,31.99564508,Stores
241,Healy,Ann,F,Baker,Bakery,Nanaimo,Stores,51.03145944,7.100793025,131.023489,Stores
242,Blake,Edward,M,Baker,Bakery,West Vancouver,Stores,54.49284808,5.640629096,123.5629654,Stores
243,Vega,Yoshiko,F,Baker,Bakery,Kamloops,Stores,28.9172471,2.244451155,21.03904881,Stores
244,Hamlin,Francis,F,Baker,Bakery,New Westminister,Stores,55.70889907,5.225591189,173.8371942,Stores
245,Adams,Andre,M,Bakery Manager,Bakery,Vancouver,Stores,43.19064154,8.109839161,20.93704925,Stores
246,Carruth,Mary,F,Baker,Bakery,Chilliwack,Stores,38.10720123,2.905915461,47.54204413,Stores
247,Turner,Robert,M,Bakery Manager,Bakery,Vancouver,Stores,37.74238941,5.388619589,30.81552612,Stores
